gain,n
13.209860276627314,1893.0024793960333
14.821707009126285,1687.1413225236768
16.630228788496453,1503.6675059543884
18.659423599956806,1340.1464436144322
20.93621762578911,1194.4083103561159
23.490822539417422,1064.5192496963864
26.357136395958857,948.7557127162452
29.573193438819782,845.5815876137564
33.181668790997534,753.6278164337244
37.230444728034755,671.6742285004179
41.773246046724246,598.6333494940355
46.87035296052114,533.5359713271927
52.589400981351375,475.5182913424572
59.00627840176204,423.81045017590264
66.20613328645636,377.72631619108665
74.28450333537955,336.6543809291049
83.34858361095161,300.04964476287205
93.51864895141787,267.4263850831928
104.92964994487782,238.3517110548455
117.73300364159793,212.43981941820766
132.09860276627313,189.34687511440114
148.21707009126285,168.7664488029628
166.30228788496453,150.42545073067194
186.59423599956804,134.0805069964448
209.36217625789112,119.5147301275323
234.9082253941742,106.53484111452987
263.57136395958855,94.96860471635205
295.73193438819777,84.66254400322721
331.81668790997537,75.47990381108667
372.3044472803476,67.29883608362502
417.73246046724245,60.01078302262342
468.70352960521143,53.519036591923204
525.8940098135138,47.73745526054229
590.0627840176205,42.5893209568956
662.0613328645635,38.00632106659634
742.8450333537955,33.92764196556727
833.4858361095162,30.299162060197556
935.1864895141789,27.072733626677753
1049.2964994487784,24.205543919957744
1177.330036415979,21.65954707463146
1320.9860276627314,19.400959259418155
1482.1707009126287,17.399810386247275
1663.0228788496454,15.629546425398432
1865.94235999568,14.066677049660342
2093.621762578911,12.690463931960569
2349.0822539417422,11.48264556036519
2635.713639595886,10.42719491891045
2957.3193438819785,9.510106818838365
3318.166879099753,8.719212058250958
3723.044472803475,8.044015944194646
4177.324604672424,7.475559034460954
4687.035296052114,7.006298251231833
5258.940098135139,6.630006789019929
5900.627840176203,6.341691488742947
6620.613328645636,6.1375265815362905
7428.450333537954,6.014802923124632
8334.858361095161,5.971892045123365
9351.86489514179,6.00822454625253
10492.964994487782,6.124282536727776
11773.300364159792,6.321606035570025
13209.860276627312,6.602813405722197
14821.70700912628,6.971636098134656
16630.228788496457,7.432968165852224
18659.423599956797,7.992931205124611
20936.217625789122,8.658955585269426
23490.822539417422,9.439879045158552
26357.13639595885,10.346063964643507
29573.193438819788,11.389534867040275
33181.66879099753,12.58413797724798
37230.44472803477,13.945724952740905
41773.24604672425,15.492363225432207
46870.352960521115,17.244575745518304
52589.4009813514,19.22561330855901
59006.27840176203,21.461763079408158
66206.13328645639,23.982697406920206
74284.50333537954,26.82186755799151
83348.58361095157,30.016947595548416
93518.6489514179,33.610334290472785
104929.6499448778,37.64970970099279
117733.00364159797,42.1886738846258
132098.60276627314,47.28745613837604
148217.07009126278,53.013714204912745
166302.28788496455,59.44343204970901
186594.235999568,66.66192812209822
209362.17625789117,74.76498747926063
234908.22539417422,83.86013279573616
263571.36395958846,94.06805112398897
295731.93438819784,105.5241953382684
331816.68790997536,118.38058151195364
372304.44728034764,132.80780607848854
417732.46046724246,148.99730954240428
468703.52960521117,167.163916778503
525894.009813514,187.5486876274261
590062.7840176203,210.4221156132795
662061.332864564,236.08771722835777
742845.0333537955,264.88605941258965
833485.8361095157,297.1992786699156
935186.4895141791,333.45615178752263
1049296.499448778,374.1377854432994
1177330.0364159797,419.7840001991506
1320986.0276627312,471.0004935918758
1482170.7009126279,528.4668773714841
1663022.8788496437,592.9456955362083
1865942.3599956818,665.2925428280681
2093621.7625789118,746.467417955263
2349082.253941742,837.5474621917765
2635713.639595885,939.7412523876451
2957319.343881976,1054.4048380494696
3318166.8790997565,1183.0597352934851
3723044.472803477,1327.4131164399935
4177324.604672424,1489.3804631528515
4687035.296052111,1671.1109837173624
5258940.098135133,1875.0161317284421
5900627.840176209,2103.8016046147163
6620613.328645639,2360.503246599493
7428450.333537955,2648.527332509164
8334858.361095157,2971.6957669705994
9351864.89514178,3334.2967987635034
10492964.99448779,3741.141923276334
11773300.364159798,4197.629728126797
13209860.276627313,4709.817529139569
14821707.009126278,5284.501747247076
16630228.788496437,5929.308092865995
18659423.599956818,6652.792754441391
20936217.62578912,7464.555933868896
23490822.539417423,8375.36923534121
26357136.39595885,9397.318597991227
29573193.438819755,10543.964668961375
33181668.79099756,11830.522744952244
37230444.72803477,13274.064669965444
